experience_programming_general,experience_programming_r
I have written a few lines now and again.,I have none.
I have written programs for my own use that are a couple of pages long.,I have written a few lines now and again.
I have written and maintained larger pieces of software.,I have written programs for my own use that are a couple of pages long.
I have none.,I have none.
I have written a few lines now and again.,I have written a few lines now and again.
I have written programs for my own use that are a couple of pages long.,I have none.
I have written and maintained larger pieces of software.,I have written and maintained larger pieces of software.
I have written a few lines now and again.,I have written programs for my own use that are a couple of pages long.
I have none.,I have written a few lines now and again.
I have written programs for my own use that are a couple of pages long.,I have written a few lines now and again.
